1,Burn,John Phillip Whetstone,167,690,6/30/2019
2,Esper Control,Sean Mogelgaard,385,1295,6/30/2019
3,Izzet Phoenix,Zan Syed,525,1140,6/30/2019
4,Jund,James Farina,616,1728,6/30/2019
5,Jund,Joslyn Lambaria,550,1725,6/30/2019
6,Humans,Jason Aeillo,303,1264,6/30/2019
7,Bridgevine,Luke Bishop,302,1043,6/30/2019
8,Burn,Westley Stiffler,247,688,6/30/2019
9,Bridgevine,Paul Muller,320,1014,6/30/2019
10,Eldrazi Tron,Anthony Cendagorta,351,859,6/30/2019
11,Humans,Jacob Fumich,305,1249,6/30/2019
12,Bridgevine,Mark Gabriele,335,1189,6/30/2019
13,Bridgevine,Christopher Hafner,275,965,6/30/2019
14,Izzet Phoenix,Jonathan Rosum,565,1133,6/30/2019
15,Devoted Devastation,Ian Flinn,308,902,6/30/2019
16,Bridgevine,Keith Capstick,292,958,6/30/2019
